N_Genes,AUC_Media,Bal_Acc_Media,AUC_Minima
3,0.9581376771522948,0.931224369444033,0.9088079106390771
5,0.9596244449447534,0.9412731779424538,0.9056949276689251
8,0.9639456888867547,0.9496699063970415,0.9058780443142281
10,0.963518416714381,0.9496699063970415,0.9045962277971068
15,0.9630171091461658,0.9459662026933379,0.9038637612158945
20,0.9656417810621764,0.9459662026933379,0.911737776963926
30,0.9661268429877996,0.9496699063970415,0.9133858267716536
50,0.9743655296659265,0.9432339622561793,0.9302325581395349
100,0.9717457107081108,0.9367980181153172,0.9247390587804432
250,0.9716535696613228,0.9405017218190208,0.9190624427760483
500,0.9715655870126477,0.9405017218190208,0.9194286760666545
1000,0.9717428584918301,0.9405017218190208,0.9219923091008972
