ID_REF,Rango,GSE30219,GSE50081,GSE19188,d_Media,d_Minima_Abs,Direccion,Marcador_IHC_Clinica,En_Panel_Minimo
DSG3,1,4.877553083403929,2.5692058906480644,5.081409612730925,4.176056195594306,2.5692058906480644,Escamoso,True,True
KRT5,2,6.060813263166506,2.461726503152943,3.377646936766698,3.966728901028716,2.461726503152943,Escamoso,True,True
CALML3,3,3.7282054226507158,2.3730609213439644,2.8427920794321917,2.9813528078089573,2.3730609213439644,Escamoso,True,True
KRT6B,4,4.160723396601024,2.312661440944416,2.791563187731836,3.0883160084257586,2.312661440944416,Escamoso,True,True
PKP1,5,3.6898369729415936,2.301233987787486,4.145973709114931,3.379014889948003,2.301233987787486,Escamoso,True,True
FAT2,6,3.7890601396373444,2.277406792405101,3.0193838348483006,3.0286169222969153,2.277406792405101,Escamoso,False,True
DAPL1,7,3.4412896532676363,2.2083488414503956,4.049007522987073,3.232882005901702,2.2083488414503956,Escamoso,False,True
TRIM29,8,3.6251470450078283,2.1750458236771633,2.578750390040051,2.792981086241681,2.1750458236771633,Escamoso,False,True
CLCA2,9,4.646743984500365,2.131047992961933,3.175148352039502,3.3176467765006,2.131047992961933,Escamoso,False,True
DSC3,10,4.284844425237221,2.1107616454242284,4.997578337026619,3.7977281358960226,2.1107616454242284,Escamoso,True,True
S1PR5,11,2.907398773155179,2.108392063800882,2.7207921840699165,2.578861007008659,2.108392063800882,Escamoso,False,True
KRT6A,12,3.661402041866736,2.0848020892525683,2.4088294858299975,2.7183445389831005,2.0848020892525683,Escamoso,True,True
KRT13,13,2.741756591436169,2.060211196648557,2.8703872343709427,2.55745167415189,2.060211196648557,Escamoso,True,True
SERPINB5,14,3.365885289289076,2.044796309147223,2.0438762723367825,2.4848526235910273,2.0438762723367825,Escamoso,False,True
TP63,15,3.936909566635771,2.0434879823290437,3.6282340402173623,3.202877196394059,2.0434879823290437,Escamoso,True,True
GJB5,16,3.890685911702237,2.0197375387056096,2.550366307350377,2.820263252586075,2.0197375387056096,Escamoso,False,True
KRT16,17,3.2117543605124412,2.0085789333945288,2.1370820491374496,2.4524717810148062,2.0085789333945288,Escamoso,False,True
BNC1,18,3.3374553185345937,1.9772045263910907,2.578741052845796,2.6311336325904935,1.9772045263910907,Escamoso,False,True
CERS3,19,2.777795603180045,1.969365510598331,2.391553386075529,2.3795714999513016,1.969365510598331,Escamoso,False,True
TMEM40,20,3.268627473683918,1.9693327169980934,2.183273309313804,2.4737444999986056,1.9693327169980934,Escamoso,False,True
JUP,21,3.3728182265219537,1.958194046900766,2.0904872137361585,2.4738331623862924,1.958194046900766,Escamoso,False,False
VSNL1,22,3.307874191321352,1.957370302426273,2.7754615442532153,2.68023534600028,1.957370302426273,Escamoso,False,False
GBP6,23,3.2328766839898546,1.9467241727026838,4.162149649826535,3.1139168355063576,1.9467241727026838,Escamoso,False,False
PITX1,24,2.555708513496071,1.9093233925255788,2.1048520859059714,2.1899613306425407,1.9093233925255788,Escamoso,False,False
NTRK2,25,2.885283091050869,1.8998322006649722,2.632170690851331,2.472428660855724,1.8998322006649722,Escamoso,False,False
GJB6,26,2.5812584579283016,1.8992880133681764,2.9100225812896023,2.4635230175286935,1.8992880133681764,Escamoso,False,False
CYP2S1,27,2.1457318931020977,1.8918267863549578,2.195032620762306,2.0775304334064537,1.8918267863549578,Escamoso,False,False
SERPINB13,28,3.2010228191102077,1.8913595927460816,2.8219773222315743,2.638119911362621,1.8913595927460816,Escamoso,False,False
PERP,29,3.231475064989152,1.878641555581027,2.1962334496192026,2.4354500233964607,1.878641555581027,Escamoso,False,False
FOXE1,30,2.51626944082661,1.8727625913742747,2.891395197220958,2.4268090764739476,1.8727625913742747,Escamoso,False,False
ABCC5,31,2.2090238072518984,1.8664986451533374,2.856161191483964,2.3105612146297334,1.8664986451533374,Escamoso,False,False
BICD2,32,2.7051366916096344,1.8351879167155847,2.255126356401853,2.2651503215756907,1.8351879167155847,Escamoso,False,False
PTHLH,33,2.6620511354783294,1.8238619289417146,2.070885477180909,2.1855995138669844,1.8238619289417146,Escamoso,False,False
SLC2A1,34,3.1005550961512762,1.8223449787162396,1.9816071794821633,2.3015024181165598,1.8223449787162396,Escamoso,False,False
KRT14,35,2.482386622134783,1.8068056011352622,1.841862219442392,2.043684814237479,1.8068056011352622,Escamoso,True,False
BMP7,36,2.7072732822989964,1.8025260112664425,3.1997875751501343,2.5698622895718577,1.8025260112664425,Escamoso,False,False
XXYLT1,37,2.9509247724569088,1.799426987644141,2.3865636901542624,2.3789718167517706,1.799426987644141,Escamoso,False,False
MIR205HG,38,3.4905726044358043,1.7968760047488794,2.1298173737705026,2.4724219943183954,1.7968760047488794,Escamoso,False,False
ATP1B3,39,2.7708297167472513,1.7967890131994733,2.1762489851918208,2.2479559050461817,1.7967890131994733,Escamoso,False,False
PVRL1,40,2.756299635859218,1.7956291290016428,2.3168107594213856,2.2895798414274156,1.7956291290016428,Escamoso,False,False
FAM83B,41,3.6099000900319154,1.7929691637377552,2.725182829351285,2.709350694373652,1.7929691637377552,Escamoso,False,False
RAPGEFL1,42,2.5657746279418823,1.7918179651750252,1.9833904202028534,2.1136610044399204,1.7918179651750252,Escamoso,False,False
ST6GALNAC2,43,2.825777911250923,1.7869440833792667,2.233874733385661,2.282198909338617,1.7869440833792667,Escamoso,False,False
ADH7,44,2.5473472353204585,1.7628095635420542,2.70501188895518,2.3383895626058977,1.7628095635420542,Escamoso,False,False
CELSR2,45,2.6187233848485074,1.7602686908238856,1.7872233258030723,2.0554051338251553,1.7602686908238856,Escamoso,False,False
ARTN,46,2.2661140995525932,1.7521458334622602,2.1375214397629416,2.051927124259265,1.7521458334622602,Escamoso,False,False
JAG1,47,3.3534187253096026,1.751430212756298,2.215963400790988,2.440270779618963,1.751430212756298,Escamoso,False,False
DENND2C,48,2.814368181099644,1.7426609494797458,2.549814443545983,2.368947858041791,1.7426609494797458,Escamoso,False,False
GRHL3,49,2.708873195532615,1.7200497553831164,2.18845905120186,2.2057940007058643,1.7200497553831164,Escamoso,False,False
NFE2L2,50,2.2331962449018836,1.7198908795436323,1.9813422789721848,1.9781431344725668,1.7198908795436323,Escamoso,False,False
IGSF11,51,2.1614334246484903,1.7168703077034106,1.7181896571629005,1.8654977965049337,1.7168703077034106,Escamoso,False,False
GPC1,52,3.5721818439128588,1.874064583796684,1.715302641480132,2.387183023063225,1.715302641480132,Escamoso,False,False
SLC9A3R1,53,2.19918612867927,1.714697787568457,1.934785509855578,1.9495564753677683,1.714697787568457,Escamoso,False,False
DDAH1,54,-2.3614103523490977,-1.7079327786389242,-1.753762141486508,-1.9410350908248433,1.7079327786389242,Adenocarcinoma,False,False
KRT7,55,-1.702896873495398,-1.7565995727731532,-2.144428705477117,-1.8679750505818895,1.702896873495398,Adenocarcinoma,False,False
ADAM23,56,2.3250570308435066,1.7017174518160454,2.2864449393072146,2.1044064739889223,1.7017174518160454,Escamoso,False,False
IRF6,57,2.8028356593317185,1.695550291662438,1.7967253647882266,2.0983704385941278,1.695550291662438,Escamoso,False,False
CHRM3,58,1.93310470763886,1.693517888225642,1.8727038736843242,1.8331088231829422,1.693517888225642,Escamoso,False,False
SLC6A10P,59,2.7944945978152362,1.690599226394543,2.786011246734833,2.423701690314871,1.690599226394543,Escamoso,False,False
SPRR1A,60,2.887944131885538,1.6803714715379192,2.5492348736899024,2.3725168257044533,1.6803714715379192,Escamoso,False,False
