metodo,genes_seleccionados_alguna_vez,genes_seleccionados_en_todas,genes_acuerdo_signo_perfecto,pct_de_los_seleccionados,concordancia_pareja_media
(a) folds LODO solapados (k=8),739,12,12,1.62,1.0
(b) cohortes independientes (k=8),304,0,0,0.0,0.7733333333333334
