N_Genes,AUC_Media,Bal_Acc_Media,AUC_Minima
3,0.9875733239701074,0.6150574843052719,0.96
5,0.9893873552087048,0.6316028950155056,0.9602777777777778
8,0.9845819923126469,0.7117007439463192,0.9600000000000001
10,0.9889320023549997,0.6982981788982896,0.966388888888889
15,0.9931711961219705,0.6993932643683749,0.978021978021978
20,0.9936789648876954,0.7453295352631635,0.9761622992392223
30,0.9929778691970235,0.7875743541119647,0.9751479289940829
50,0.9942503014061046,0.8011733396274325,0.9803888419273035
100,0.9958526886234935,0.8659395698942159,0.9842772612003381
