ID_REF,GSE118370,GSE18842,GSE19188,GSE19804,GSE23066,GSE31210,GSE40791,GSE7670,d_Media,d_Minima_Abs,Direccion
MSTO1,1.9742846,1.8964133,2.239651,1.8211137,0.9455827,1.5089478,3.8242874,3.0378995,2.1560223,0.9455827,enfermo
SLC5A6,1.4121503,2.161355,1.727912,1.0650908,0.94340706,1.4064943,4.31276,1.6073613,1.8295662,0.94340706,enfermo
MRPS34,1.9423281,1.7216861,1.6450408,1.7718339,0.9376456,1.7178416,5.6294756,2.375392,2.2176554,0.9376456,enfermo
METTL7A,-1.4218947,-1.9387139,-1.4512839,-0.93866795,-0.9372494,-1.1921064,-2.4239612,-3.4262002,-1.7162596,0.9372494,sano
PTPRF,1.7464042,2.2527504,1.3940994,1.0090984,0.93377864,1.2123237,3.2288086,1.4936769,1.6588675,0.93377864,enfermo
ALDH2,-0.92264307,-2.477233,-2.3838313,-1.0263779,-0.9360806,-0.9714003,-3.5382805,-1.0602213,-1.6645086,0.92264307,sano
CARD8,-1.7729421,-2.4676683,-1.8155206,-1.3623751,-0.9209163,-1.1148458,-1.8979652,-1.1650342,-1.5646584,0.9209163,sano
GPRASP1,-2.0266309,-2.5310762,-1.5877138,-1.0184051,-0.91620344,-1.0977888,-3.1380453,-1.8866386,-1.7753127,0.91620344,sano
LSM12,1.3112282,1.9903699,1.846038,0.9154245,1.0175734,1.6619288,4.274041,1.8093492,1.8532441,0.9154245,enfermo
CHCHD2,2.2024164,2.4389455,1.7299691,1.303196,0.91532195,1.288284,7.0895443,1.6930135,2.3325865,0.91532195,enfermo
SLC35B1,2.5557015,1.9491769,1.3751951,1.7184974,0.90922153,1.384072,5.246776,2.7856576,2.2405374,0.90922153,enfermo
MLEC,2.3271866,1.3690618,1.251603,1.4248627,0.9084952,1.2699171,3.3360033,2.470857,1.7947484,0.9084952,enfermo
NET1,2.6808364,1.8879563,1.4219047,1.1157563,1.1039736,0.9076854,3.830955,2.703209,1.9565346,0.9076854,enfermo
PPP1R14B,1.3583995,3.7064042,2.337708,1.9969178,0.90653634,1.4989661,9.051671,3.8427207,3.0874152,0.90653634,enfermo
TOMM34,0.96718216,1.178141,0.90528107,0.9681248,1.2409003,1.2229191,2.23496,1.183199,1.2375884,0.90528107,enfermo
DOCK4,-3.1035576,-3.1969419,-2.8529923,-1.3524469,-0.9034954,-2.0774941,-6.7617745,-3.5214314,-2.9712667,0.9034954,sano
MYLK,-3.4761796,-1.0591922,-1.9698148,-1.2812558,-0.90259844,-0.9491513,-1.5231403,-2.6248045,-1.7232671,0.90259844,sano
LRRC59,1.3977091,1.922927,1.2217486,0.90224516,1.1750675,1.4760274,4.2524714,3.4705503,1.9773433,0.90224516,enfermo
ZBED2,-1.8202697,-1.9230427,-1.679213,-2.1977754,-0.90069526,-1.703964,-2.3294938,-1.6720736,-1.7783159,0.90069526,sano
LRRC49,-1.2944031,-1.2556928,-0.8988739,-1.2072452,-0.9799897,-1.0952871,-1.9288449,-3.0360184,-1.4620445,0.8988739,sano
SDPR,-4.583731,-3.7562351,-2.9448495,-2.1527047,-0.8977588,-2.0567217,-6.1369267,-1.028496,-2.9446776,0.8977588,sano
IFT88,-0.89702183,-2.5385864,-1.8427417,-1.2590431,-2.1512606,-1.0856318,-2.1594498,-2.205427,-1.7673954,0.89702183,sano
HIST1H2BE,0.8969808,1.5438676,1.7159414,1.281241,1.7941256,1.2462173,3.7184398,1.076532,1.6591682,0.8969808,enfermo
PDE3B,-2.4955244,-2.1820936,-1.4151572,-1.7326703,-0.89521766,-1.6528655,-3.382362,-1.9938644,-1.9687192,0.89521766,sano
PEX10,0.8944023,1.5239539,1.1756332,1.0809313,1.3308187,0.99655837,4.3676224,1.3590633,1.5911229,0.8944023,enfermo
LRRC36,-1.4524751,-3.1670766,-3.2159703,-0.8821669,-0.90403354,-1.1754006,-4.7626143,-2.3877108,-2.243431,0.8821669,sano
GNG11,-2.913002,-2.6738248,-2.2364097,-2.519849,-0.8818273,-2.2776058,-5.056534,-2.3953485,-2.6193,0.8818273,sano
ENG,-2.6027572,-1.5872266,-1.7441646,-1.2345276,-0.87897027,-2.0150816,-1.305392,-1.8206998,-1.6486025,0.87897027,sano
P2RY6,1.0875573,1.1232351,1.1236525,1.0847826,0.87819225,1.414507,2.237467,1.4014695,1.2938579,0.87819225,enfermo
