ID_REF,GSE30219,GSE50081,GSE19188,d_Media,d_Minima_Abs,Direccion
STPG1,1.5371104,0.9682242,1.1703825,1.225239,0.9682242,escamoso
NSG1,1.7756635,1.3212259,0.9681748,1.3550215,0.9681748,escamoso
ASB2,1.0438793,0.9680109,1.0343268,1.0154057,0.9680109,escamoso
ATG4D,1.7312425,0.9678677,1.733837,1.4776491,0.9678677,escamoso
MRPL36,1.2605731,1.0804938,0.96665835,1.1025751,0.96665835,escamoso
ZNF639,1.9266632,0.9642733,1.7968117,1.5625826,0.9642733,escamoso
FAM174B,-1.8253984,-1.0385257,-0.9637776,-1.2759005,0.9637776,adenocarcinoma
KRT17P5,1.5528446,0.9631173,1.5798329,1.3652649,0.9631173,escamoso
GDPD1,-1.7181597,-0.9628256,-1.1302817,-1.2704223,0.9628256,adenocarcinoma
FAXDC2,-1.3231272,-0.96274066,-1.3191555,-1.2016743,0.96274066,adenocarcinoma
FEZ1,1.359258,0.9626689,1.0338864,1.1186045,0.9626689,escamoso
SUCLG2,-1.8919625,-0.96243954,-1.3979748,-1.417459,0.96243954,adenocarcinoma
PTPRE,-1.4733801,-0.96241707,-1.2897224,-1.2418399,0.96241707,adenocarcinoma
MRPS11,1.1584017,0.96233404,0.98863,1.0364553,0.96233404,escamoso
AF279780,2.10145,0.9614082,1.538068,1.5336422,0.9614082,escamoso
KLF5,1.2224213,0.96093637,1.3045682,1.162642,0.96093637,escamoso
DTL,1.5974737,0.9600952,1.0545349,1.2040347,0.9600952,escamoso
PLCH2,1.3360808,0.95993483,1.1045564,1.1335241,0.95993483,escamoso
TMEM44,1.4207842,0.95951474,1.1253718,1.168557,0.95951474,escamoso
TMC4,-1.3308933,-0.9583544,-0.9653096,-1.0848525,0.9583544,adenocarcinoma
NAA20,1.267318,0.95811546,1.1840143,1.1364826,0.95811546,escamoso
WFDC2,-1.2857541,-0.9577828,-1.079022,-1.1075196,0.9577828,adenocarcinoma
C15orf61,1.0964588,0.9571974,0.9729508,1.008869,0.9571974,escamoso
HSD17B11,-1.9712464,-0.9569298,-1.3989524,-1.4423761,0.9569298,adenocarcinoma
