ID_REF,GSE30219,GSE50081,GSE19188,d_Media,d_Minima_Abs,Replicado_3_Cohortes,Direccion
LOC100506119,2.0570604194090603,1.3399501755736134,1.8647568126936576,1.7539224692254436,1.3399501755736134,True,Escamoso
NUP50-AS1,1.339560510745577,1.3981768535658978,1.5004515445315783,1.4127296362810178,1.339560510745577,True,Escamoso
OCLN,-1.915054279154157,-1.3390757969800162,-1.3673696112893226,-1.540499895807832,1.3390757969800162,True,Adenocarcinoma
DYNC1I1,1.8235188824763944,1.337049784143616,1.3414947515505655,1.5006878060568587,1.337049784143616,True,Escamoso
YEATS2,2.1777065961550672,1.336458419572951,1.7836895615406632,1.7659515257562273,1.336458419572951,True,Escamoso
MAP6D1,1.665846674876223,1.3329082889315549,1.509883857436309,1.5028796070813624,1.3329082889315549,True,Escamoso
UPK1B,2.282530102797097,1.387842870299959,1.332546428885432,1.6676398006608293,1.332546428885432,True,Escamoso
ALG3,1.8349746972891277,1.3356959573327758,1.3321137850316218,1.500928146551175,1.3321137850316218,True,Escamoso
GOLT1A,-2.4121531490573207,-1.3298947492150266,-1.568589519679969,-1.770212472650772,1.3298947492150266,True,Adenocarcinoma
PARM1,-1.5884012889386572,-1.3659955881993517,-1.3282016772494007,-1.4275328514624699,1.3282016772494007,True,Adenocarcinoma
C3orf58,2.3748972312350123,1.3280406648561505,2.6092739370243914,2.104070611038518,1.3280406648561505,True,Escamoso
CADPS2,-2.296292236670825,-1.324465843131185,-1.9294695281796128,-1.8500758693272077,1.324465843131185,True,Adenocarcinoma
ACOX2,-2.216834967102277,-1.3230348603074364,-1.408628622745746,-1.649499483385153,1.3230348603074364,True,Adenocarcinoma
SERPINB2,2.5098073320275143,1.3214116728988732,1.5164174305880378,1.7825454785048083,1.3214116728988732,True,Escamoso
BTBD11,1.7467032892644283,1.753397384500812,1.3205682091401811,1.6068896276351403,1.3205682091401811,True,Escamoso
HRAS,2.229605986993178,1.3194787969052524,1.7103829469020484,1.7531559102668262,1.3194787969052524,True,Escamoso
CLDN3,-2.4130895022160406,-1.3152047625775762,-1.959934293652532,-1.896076186148716,1.3152047625775762,True,Adenocarcinoma
ALOX12,1.8058267653446527,1.693150841824751,1.314435027059894,1.6044708780764327,1.314435027059894,True,Escamoso
CENPN,1.7139127802175438,1.3139191669169767,1.6451663035245183,1.557666083553013,1.3139191669169767,True,Escamoso
ABCF3,1.8656131199208292,1.404408845861164,1.3137478482743605,1.527923271352118,1.3137478482743605,True,Escamoso
FABP5,2.306107764982564,1.3134316114124784,2.0550358324453764,1.8915250696134729,1.3134316114124784,True,Escamoso
PAX6,2.339867356776892,1.660094519041061,1.3051970900091796,1.7683863219423774,1.3051970900091796,True,Escamoso
NDUFA4L2,1.782254580679828,1.304959927595921,1.7722933945899149,1.6198359676218879,1.304959927595921,True,Escamoso
ACAT2,1.5965760367895914,1.3031980634832436,1.5073502588737528,1.4690414530488625,1.3031980634832436,True,Escamoso
SFN,2.803874326037768,1.3029384545814906,1.5181559901244568,1.874989590247905,1.3029384545814906,True,Escamoso
CEACAM6,-1.6880830392744794,-1.3014085432682958,-1.4778838049960568,-1.4891251291796106,1.3014085432682958,True,Adenocarcinoma
CHAF1A,1.8770729224330671,1.2976794896882624,1.9481166585355256,1.7076230235522851,1.2976794896882624,True,Escamoso
CD63,-1.9123707841472772,-1.2972160416277654,-1.6214595704149608,-1.6103487987300014,1.2972160416277654,True,Adenocarcinoma
AP2M1,2.2487368364653233,1.5380627618560618,1.297089577099864,1.6946297251404163,1.297089577099864,True,Escamoso
RBM47,-2.222554268857918,-1.391111072072047,-1.296764602195438,-1.6368099810418009,1.296764602195438,True,Adenocarcinoma
LOC101060179,2.04703106059771,1.3705104943832438,1.2945717727901762,1.5707044425903767,1.2945717727901762,True,Escamoso
LOC100130691,1.5593011430653698,1.2945067447306386,1.5527382824184246,1.468848723404811,1.2945067447306386,True,Escamoso
BLCAP,1.7829204003575507,1.2933402906324332,1.646892822414522,1.5743845044681688,1.2933402906324332,True,Escamoso
LGALS7,2.076998779927215,1.7594841075238434,1.2932021579687023,1.7098950151399201,1.2932021579687023,True,Escamoso
HES2,1.8072458819948014,1.2920387974655965,1.7578185688727133,1.619034416111037,1.2920387974655965,True,Escamoso
TRA2B,1.7059488434892542,1.29190378022261,1.4752436648839242,1.4910320961985963,1.29190378022261,True,Escamoso
YBX3,2.1981841178029162,1.286497257611638,1.3502605030119517,1.6116472928088352,1.286497257611638,True,Escamoso
KRTDAP,1.5851417694314582,1.286426466716906,1.300476636127554,1.3906816240919728,1.286426466716906,True,Escamoso
NHSL1,1.330954020938971,1.4056021614416907,1.2862761789843271,1.3409441204549963,1.2862761789843271,True,Escamoso
PON3,-1.8374937459169478,-1.2862248769789864,-1.6167296352912217,-1.5801494193957186,1.2862248769789864,True,Adenocarcinoma
KREMEN1,1.7224710383500488,1.446352116096477,1.2831603487248224,1.483994501057116,1.2831603487248224,True,Escamoso
CCL26,1.2825984715019783,1.535028952715665,1.7264927536051722,1.5147067259409386,1.2825984715019783,True,Escamoso
NKX2-1-AS1,-2.202026538048294,-1.2796048192409641,-1.2817108615547543,-1.5877807396146706,1.2796048192409641,True,Adenocarcinoma
GOLM1,-1.8185416399665304,-1.2788801909862282,-1.5010926159605358,-1.5328381489710983,1.2788801909862282,True,Adenocarcinoma
ARRB1,-2.557272676874536,-1.2784533807099787,-1.5997982397532093,-1.811841432445908,1.2784533807099787,True,Adenocarcinoma
RNF217,2.2089702456423175,1.27785565171487,1.9140038642493407,1.800276587202176,1.27785565171487,True,Escamoso
WNT2B,1.8402071330761889,1.2773821744794989,1.5233324699456758,1.5469739258337878,1.2773821744794989,True,Escamoso
GPR87,2.6687652357581273,1.2769685551064096,1.6276893814916724,1.8578077241187365,1.2769685551064096,True,Escamoso
PAK2,2.343520485845912,1.2740317054514387,1.8813431449475164,1.8329651120816226,1.2740317054514387,True,Escamoso
P4HTM,-1.5256166275500762,-1.2733572150690091,-1.7701801843652756,-1.5230513423281202,1.2733572150690091,True,Adenocarcinoma
LOC100288860,2.057689552394632,1.2681452726565974,1.8662723595084034,1.7307023948532112,1.2681452726565974,True,Escamoso
CDHR1,1.3341478121119483,1.2672851182320255,1.4240797729264048,1.3418375677567929,1.2672851182320255,True,Escamoso
TPD52L1,2.01439841140035,1.2671956577195573,1.6653625061663917,1.6489855250954328,1.2671956577195573,True,Escamoso
TICRR,2.139683547885307,1.2668119851457846,1.6885642474096552,1.6983532601469156,1.2668119851457846,True,Escamoso
RNF168,2.3654637967577328,1.2667031396056914,2.3505007054089813,1.9942225472574684,1.2667031396056914,True,Escamoso
C16orf74,1.7205889804851406,1.2660294764907147,1.4113889167974543,1.4660024579244366,1.2660294764907147,True,Escamoso
LINC01133,2.0779989774376757,1.2642960707461088,1.87783592105101,1.7400436564115982,1.2642960707461088,True,Escamoso
FANCE,2.076079605413607,1.263293735879557,2.397100838978737,1.9121580600906336,1.263293735879557,True,Escamoso
GLTP,1.8815402445162004,1.2628564253349999,2.39878375041187,1.8477268067543566,1.2628564253349999,True,Escamoso
SERPINB3,1.8292092963032618,1.3266185547309728,1.2622196251538451,1.4726824920626933,1.2622196251538451,True,Escamoso
GPRC5A,-1.5615186900264046,-1.259013195109228,-1.5794259074824573,-1.4666525975393634,1.259013195109228,True,Adenocarcinoma
FGFR2,1.7046525106082975,1.2578007591318774,1.4511171088675963,1.4711901262025904,1.2578007591318774,True,Escamoso
ABCC6,-2.3015306224855423,-1.256579508590045,-1.7655287589295967,-1.7745462966683947,1.256579508590045,True,Adenocarcinoma
SLC44A4,-2.010693730751234,-1.256049509737724,-1.4093292271602953,-1.558690822549751,1.256049509737724,True,Adenocarcinoma
MIEF1,1.4012297435903154,1.264553970090117,1.2473782049047528,1.3043873061950617,1.2473782049047528,True,Escamoso
SEMA3F,2.0041760515163065,1.2452734524235685,1.3468579858113192,1.5321024965837313,1.2452734524235685,True,Escamoso
GNA14,-2.1533824255777794,-1.2443819639252403,-1.4482813778387669,-1.615348589113929,1.2443819639252403,True,Adenocarcinoma
FAM181B,1.591374233024102,1.2442251612353563,1.248114718578011,1.36123803761249,1.2442251612353563,True,Escamoso
TRIM16,1.51183985853986,1.2401743361141897,1.2872679425055917,1.346427379053214,1.2401743361141897,True,Escamoso
CPM,-2.1916324223870247,-1.4578291946139248,-1.238513331451591,-1.6293249828175134,1.238513331451591,True,Adenocarcinoma
GPR39,-2.458583929107176,-1.2356415387226376,-1.6087909535094813,-1.7676721404464315,1.2356415387226376,True,Adenocarcinoma
TFRC,2.565202658796886,1.3532768701055629,1.2344941733123853,1.717657900738278,1.2344941733123853,True,Escamoso
TJP3,-2.0837080235997174,-1.3584575144322806,-1.2333786899765198,-1.5585147426695058,1.2333786899765198,True,Adenocarcinoma
RFC4,2.035501738452535,1.291257183168919,1.2307898568971054,1.519182926172853,1.2307898568971054,True,Escamoso
RHOU,-2.373997718030604,-1.2288534375518387,-1.6622259936309332,-1.7550257164044585,1.2288534375518387,True,Adenocarcinoma
PRPF4,1.4869006669701428,1.227241962908326,1.244015840299077,1.3193861567258487,1.227241962908326,True,Escamoso
LOC101928100,2.2489775152651594,1.2267426478009524,2.270768928240692,1.9154963637689348,1.2267426478009524,True,Escamoso
FAM107B,-2.2947348367562053,-1.2252850176451027,-1.8421252329775677,-1.7873816957929585,1.2252850176451027,True,Adenocarcinoma
SPRR1B,2.796570606187459,1.2245528791011804,1.976458690388089,1.9991940585589092,1.2245528791011804,True,Escamoso
ATP11A,-2.2685214422022058,-1.2230825028349577,-1.7380453043391404,-1.743216416458768,1.2230825028349577,True,Adenocarcinoma
SDK2,1.460186685104517,1.222356871115482,1.4076070268509013,1.3633835276903001,1.222356871115482,True,Escamoso
GCLC,1.3046893393126036,1.2201096313129882,1.2916700677164155,1.2721563461140024,1.2201096313129882,True,Escamoso
BLMH,1.449213555247645,1.2264316396231172,1.2187259589521173,1.29812371794096,1.2187259589521173,True,Escamoso
SMO,1.5034645001197942,1.2183712949729917,1.4804876547827976,1.4007744832918612,1.2183712949729917,True,Escamoso
GALNT10,-1.665472235190646,-1.2167975044650563,-1.3096513624113746,-1.3973070340223588,1.2167975044650563,True,Adenocarcinoma
KCNK5,-2.223330955266046,-1.4714039588268115,-1.2159829782692828,-1.6369059641207135,1.2159829782692828,True,Adenocarcinoma
STEAP4,-1.484481082844372,-1.2158075956544807,-1.2321625649616283,-1.3108170811534936,1.2158075956544807,True,Adenocarcinoma
SH3KBP1,-1.7018875960146587,-1.2820289842308186,-1.2146856044128902,-1.3995340615527894,1.2146856044128902,True,Adenocarcinoma
ZFP64,2.2605326964665946,1.4311284408915437,1.2131184685516858,1.6349265353032747,1.2131184685516858,True,Escamoso
RAE1,1.541212027313437,1.3642105379351903,1.2087190139665456,1.3713805264050576,1.2087190139665456,True,Escamoso
SLC4A11,1.674624562514549,1.2083840127293137,1.2402349695313306,1.3744145149250644,1.2083840127293137,True,Escamoso
MRPL47,2.0277590633988245,1.2066419813927187,1.374198636414486,1.5361998937353432,1.2066419813927187,True,Escamoso
ALDH3B1,-2.059035117097005,-1.20458608013727,-1.5307939788607317,-1.598138392031669,1.20458608013727,True,Adenocarcinoma
ERBB3,-1.4046297915005646,-1.2045824929438638,-1.282622454881302,-1.2972782464419101,1.2045824929438638,True,Adenocarcinoma
LOC728554,1.5050609574250493,1.204435806433237,1.4283193294018366,1.3792720310867077,1.204435806433237,True,Escamoso
CEP19,2.3355079049912892,1.2017962745246005,1.8911787710134018,1.8094943168430973,1.2017962745246005,True,Escamoso
FAM162A,1.7541989516714118,1.200997933386484,1.4349983599299128,1.463398414995936,1.200997933386484,True,Escamoso
NUDT1,1.6828031782830055,1.2003452421370955,1.5782239717732696,1.4871241307311234,1.2003452421370955,True,Escamoso
HNF1B,-1.9558341589589798,-1.2969089514852807,-1.199065897307345,-1.4839363359172018,1.199065897307345,True,Adenocarcinoma
HEY1,1.1975839482804758,1.2499412464262016,1.4584791009739517,1.302001431893543,1.1975839482804758,True,Escamoso
MBIP,-1.9273586651409718,-1.1955558894871732,-1.3781639049646885,-1.5003594865309446,1.1955558894871732,True,Adenocarcinoma
CDCA4,1.9816555753258824,1.1952995208512878,1.2909202466429637,1.4892917809400448,1.1952995208512878,True,Escamoso
C17orf99,1.4830221409984672,1.1947951649415518,1.5250482143921698,1.400955173444063,1.1947951649415518,True,Escamoso
ERGIC1,-1.6259519351872478,-1.2400824307076852,-1.1946370951331067,-1.3535571536760134,1.1946370951331067,True,Adenocarcinoma
HAS3,1.4972878238726535,1.1940431024835403,1.9946150432546073,1.561981989870267,1.1940431024835403,True,Escamoso
HPN,-1.8049631177650052,-1.1935860229366322,-1.342302655422402,-1.4469505987080131,1.1935860229366322,True,Adenocarcinoma
CLDN1,2.0029244556031314,1.4174811566870424,1.1930318516095282,1.5378124879665673,1.1930318516095282,True,Escamoso
PAK7,1.443098020039291,1.1926575945850073,1.3479862819777866,1.3279139655340284,1.1926575945850073,True,Escamoso
FERMT1,1.8566143857757416,1.190834708038971,1.3992120291566106,1.4822203743237745,1.190834708038971,True,Escamoso
