sampleId,subtipo,subtipo_txt,score_simple,score_lasso
TCGA-05-4249-01,0,LUAD,-12.273725582916066,-4.03141032096486
TCGA-05-4382-01,0,LUAD,-6.996863704035887,-2.75516847236928
TCGA-05-4384-01,0,LUAD,-1.155639119674712,-1.9362285552251355
TCGA-05-4389-01,0,LUAD,-1.9475823817593403,-0.4508722847555905
TCGA-05-4390-01,0,LUAD,-21.83562375024519,-4.239205124280194
TCGA-05-4395-01,0,LUAD,7.686827347203799,-0.18050944262865332
TCGA-05-4396-01,0,LUAD,-20.401284867204282,-4.37062764544736
TCGA-05-4398-01,0,LUAD,-7.395963337275013,-2.9888906384213145
TCGA-05-4402-01,0,LUAD,13.080047436041221,0.13670947738868744
TCGA-05-4403-01,0,LUAD,8.43149368619053,0.610650332041442
TCGA-05-4405-01,0,LUAD,-5.097882442187315,-2.6500115891225735
TCGA-05-4410-01,0,LUAD,-2.3397362755432978,-1.0995464037243907
TCGA-05-4415-01,0,LUAD,-12.461175934408942,-2.8538629962128192
TCGA-05-4417-01,0,LUAD,-7.928885185876277,-1.816328569646017
TCGA-05-4418-01,0,LUAD,7.022064408389776,-0.5522072457277458
TCGA-05-4420-01,0,LUAD,-16.11232944855467,-3.6186850163147293
TCGA-05-4422-01,0,LUAD,-10.460326500544417,-2.22470755896019
TCGA-05-4424-01,0,LUAD,-6.965351401892851,-3.056914171232327
TCGA-05-4425-01,0,LUAD,-10.406748688832465,-4.421597180822893
TCGA-05-4426-01,0,LUAD,-4.588831804712022,-3.7261676319639205
TCGA-05-4430-01,0,LUAD,4.5380537681108155,-1.0513917120147944
TCGA-05-4432-01,0,LUAD,-8.062531588683553,-0.3466718643607014
TCGA-05-4433-01,0,LUAD,-3.2216206352926697,-2.3074723756200237
TCGA-05-5420-01,0,LUAD,-18.885098368714697,-3.7085059724294824
TCGA-05-5423-01,0,LUAD,-13.347993512662434,-1.9996360573418177
TCGA-05-5428-01,0,LUAD,-10.246515281733,-2.6061295587057662
TCGA-05-5429-01,0,LUAD,3.682260771633098,-0.6942064313008648
TCGA-05-5715-01,0,LUAD,-6.722330379388019,-2.9068347500036857
TCGA-35-3615-01,0,LUAD,-9.881111802372821,-3.5085270144153293
TCGA-38-4626-01,0,LUAD,-5.571611187934277,-2.2916963269766475
TCGA-38-4627-01,0,LUAD,6.065731522838749,-1.1579710465461333
TCGA-38-4628-01,0,LUAD,-10.701647569630943,-2.5624694644933426
TCGA-38-4631-01,0,LUAD,-9.304982112558992,-2.760269165564659
TCGA-38-4632-01,0,LUAD,-9.911476520383244,-2.7997071894203236
TCGA-38-6178-01,0,LUAD,-0.13811573527687585,-1.6328309009053932
TCGA-44-2655-01,0,LUAD,-5.1862797742528715,-1.9817657493457832
TCGA-44-2656-01,0,LUAD,-15.42356133520846,-4.234167910378435
TCGA-44-2657-01,0,LUAD,-1.800071690350943,-1.6943713503500677
TCGA-44-2659-01,0,LUAD,-13.36887629752046,-4.033335314850157
TCGA-44-2661-01,0,LUAD,-6.658872170821671,-2.412026443782008
TCGA-44-2662-01,0,LUAD,-7.373968422798895,-3.175680855951442
TCGA-44-2665-01,0,LUAD,-1.681086929807328,-2.0063541325285916
TCGA-44-2666-01,0,LUAD,-8.3340578939899,-2.5853663677605208
TCGA-44-3396-01,0,LUAD,-6.6572500320633585,-2.802526720885692
TCGA-44-3919-01,0,LUAD,-2.26374629848261,-2.256912944721999
TCGA-44-4112-01,0,LUAD,-6.889556035506345,-2.5993221514900116
TCGA-44-5645-01,0,LUAD,-16.90191136908328,-4.251075509818163
TCGA-44-6145-01,0,LUAD,3.816760955462896,-1.9080561515885721
TCGA-44-6146-01,0,LUAD,-6.869292471981002,-2.2974137844175577
TCGA-44-6147-01,0,LUAD,16.36491672733072,0.8563293021384566
TCGA-44-6774-01,0,LUAD,-4.133802026346591,-1.7627564945047138
TCGA-44-6775-01,0,LUAD,-6.267912337329021,-1.7514563019458032
TCGA-44-6776-01,0,LUAD,-9.098264967499215,-2.5752972745153553
TCGA-44-6777-01,0,LUAD,-9.288887654289717,-2.756660476792663
TCGA-44-6779-01,0,LUAD,3.1194504681798927,-1.338723701837291
TCGA-44-7659-01,0,LUAD,-1.7370823446170522,-1.6634792270192125
TCGA-44-7662-01,0,LUAD,-6.9954728929864896,-4.718287423947311
TCGA-44-7670-01,0,LUAD,6.2740527337996905,-0.5214140133323184
TCGA-44-7671-01,0,LUAD,5.373383471099455,-1.5181129508989541
TCGA-44-7672-01,0,LUAD,-3.5086020098558732,-2.2742528144181726
TCGA-49-4486-01,0,LUAD,-7.51493480470512,-1.9787350960286167
TCGA-49-4487-01,0,LUAD,-7.241471819083761,-2.0413830177060994
TCGA-49-4488-01,0,LUAD,-10.502364968241142,-3.384929478094673
TCGA-49-4490-01,0,LUAD,11.110948361809518,0.1379928865673694
TCGA-49-4494-01,0,LUAD,1.8428521433101681,-1.3810840049906963
TCGA-49-4501-01,0,LUAD,-7.531100183370138,-2.951362222823926
TCGA-49-4505-01,0,LUAD,-10.587766285350693,-3.4693650361109505
TCGA-49-4506-01,0,LUAD,1.6094191179599702,-3.3823173586283843
TCGA-49-4507-01,0,LUAD,9.091480613030223,-2.274120101998167
TCGA-49-4510-01,0,LUAD,-5.032443101027128,-1.934107537950294
TCGA-49-4512-01,0,LUAD,-2.594681634805622,-0.5262494734449
TCGA-49-4514-01,0,LUAD,-3.3036520283680177,-0.9409888580212629
TCGA-49-6742-01,0,LUAD,3.397178820817564,0.14441384538255853
TCGA-49-6744-01,0,LUAD,0.25548421797425075,-2.4383124078285805
TCGA-49-6745-01,0,LUAD,6.650422210054776,-1.0227895031901078
TCGA-49-6761-01,0,LUAD,-5.269669710341698,-2.7447392061007143
TCGA-49-6767-01,0,LUAD,0.7210837825285574,-2.8573174978145763
TCGA-50-5044-01,0,LUAD,5.868815842365914,-0.9353674506842115
TCGA-50-5049-01,0,LUAD,-9.666206125520945,-2.3861683103641864
TCGA-50-5051-01,0,LUAD,-8.75253001621149,-2.248175041830927
TCGA-50-5055-01,0,LUAD,7.348980346216033,0.6401738891653042
TCGA-50-5068-01,0,LUAD,-10.256172512345632,-2.5889213485381033
TCGA-50-5072-01,0,LUAD,16.898183647549665,1.9961709704069717
TCGA-50-5931-01,0,LUAD,37.16594708313401,5.588053106948911
TCGA-50-5932-01,0,LUAD,-17.441319581620427,-3.2989541395788233
TCGA-50-5933-01,0,LUAD,-1.9400024562326292,-2.919251548754044
TCGA-50-5935-01,0,LUAD,-17.642004249821394,-3.381127861787803
TCGA-50-5936-01,0,LUAD,3.153462281099578,-1.6131109555135588
TCGA-50-5939-01,0,LUAD,-0.047577265073106556,-3.1156745254412535
TCGA-50-5941-01,0,LUAD,-8.160249232556893,-3.66746268936316
TCGA-50-5942-01,0,LUAD,-9.98362073548019,-3.4649706630648733
TCGA-50-5944-01,0,LUAD,-10.814060814630896,-3.0906539050885575
TCGA-50-6593-01,0,LUAD,7.310309567401106,0.04928775213427539
TCGA-50-6595-01,0,LUAD,26.15609608870049,0.6286671065971472
TCGA-50-6597-01,0,LUAD,-22.479935854038544,-4.892398694288866
TCGA-50-6673-01,0,LUAD,9.637657538746602,0.47808952808340033
TCGA-50-7109-01,0,LUAD,-12.410177139023464,-4.19775478040276
TCGA-53-7626-01,0,LUAD,-13.51174954227196,-3.549456439939319
TCGA-53-7813-01,0,LUAD,-18.230005505107947,-3.0349094045152185
TCGA-55-1592-01,0,LUAD,-11.93426020128555,-2.63236069522319
TCGA-55-1594-01,0,LUAD,-8.645115796865085,-0.9257775122163134
TCGA-55-1596-01,0,LUAD,-8.1092093216059,-2.345075980081921
TCGA-55-6543-01,0,LUAD,-4.692510449993181,-3.541527810467648
TCGA-55-6642-01,0,LUAD,-12.228313218094126,-2.8695141012742242
TCGA-55-6712-01,0,LUAD,3.5892602629249377,-2.8591059000067602
TCGA-55-6970-01,0,LUAD,-4.661944293456951,-2.0083771156867845
TCGA-55-6971-01,0,LUAD,-11.59670098098154,-2.6433747640446725
TCGA-55-6972-01,0,LUAD,-16.407324939916812,-2.928127441567833
TCGA-55-6978-01,0,LUAD,4.1689174516593965,-1.111296865496512
TCGA-55-6979-01,0,LUAD,0.5959098241186312,-1.6419865437896162
TCGA-55-6980-01,0,LUAD,3.2924292639193515,-1.64977567888731
TCGA-55-6981-01,0,LUAD,-8.980356441331033,-3.0677717180797623
TCGA-55-6982-01,0,LUAD,-1.9761872312126845,-2.5807168702890544
TCGA-55-6983-01,0,LUAD,7.759860442231856,-0.43793096160008205
TCGA-55-6985-01,0,LUAD,14.309242726039038,0.8364137175835711
TCGA-55-6986-01,0,LUAD,-4.775983589148188,-3.3278247407140755
TCGA-55-7281-01,0,LUAD,-0.1804672854194851,-2.2331179239438845
TCGA-55-7283-01,0,LUAD,-5.98927155041493,-3.295202267744312
TCGA-55-7573-01,0,LUAD,3.0140215583451364,-0.35733214191926177
TCGA-55-7574-01,0,LUAD,-2.760589431178317,-0.7124924739619174
TCGA-55-7576-01,0,LUAD,-9.048539949456822,-3.2786592360704434
TCGA-55-7724-01,0,LUAD,58.84324881933459,7.875006573018141
TCGA-55-7725-01,0,LUAD,-11.397046637473576,-3.803802450792171
TCGA-55-7726-01,0,LUAD,39.887281331469566,3.8226658285517336
TCGA-55-7727-01,0,LUAD,-18.01582511698807,-4.357865346944298
TCGA-55-7728-01,0,LUAD,5.709588385412748,-0.6207640105646927
TCGA-55-7815-01,0,LUAD,-16.532274978908717,-3.3538300115206727
TCGA-55-7903-01,0,LUAD,-10.05545319743263,-3.100010056762934
